Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Bus - StL Bus Index,Destination,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),909,0.245,0.197,0.153,0.165,0.092,0.062,0.031,0.030,0.025,0.195,0.232,0.241,0.220,0.112,0.583,0.210,0.019,0.055,0.000,0.087,0.046,0.168,0.312,0.688,0.166,0.224
Bus - StL Bus Index,Destination,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),52,0.297,0.233,0.171,0.136,0.073,0.045,0.021,0.015,0.009,0.267,0.250,0.208,0.184,0.091,0.473,0.293,0.019,0.062,0.000,0.103,0.050,0.198,0.315,0.685,0.170,0.229
Bus - StL Bus Index,Destination,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),65,0.252,0.201,0.155,0.166,0.088,0.065,0.031,0.020,0.022,0.198,0.230,0.239,0.227,0.106,0.558,0.238,0.018,0.065,0.000,0.082,0.039,0.155,0.309,0.691,0.155,0.225
Bus - StL Bus Index,Destination,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),330,0.234,0.179,0.142,0.179,0.099,0.069,0.033,0.035,0.030,0.159,0.234,0.259,0.229,0.119,0.633,0.180,0.016,0.054,0.000,0.074,0.043,0.146,0.295,0.705,0.158,0.210
Bus - StL Bus Index,Destination,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),291,0.239,0.196,0.151,0.163,0.098,0.064,0.031,0.032,0.026,0.189,0.231,0.242,0.223,0.115,0.593,0.195,0.021,0.052,0.000,0.091,0.048,0.175,0.313,0.687,0.168,0.224
Bus - StL Bus Index,Destination,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),172,0.258,0.220,0.170,0.152,0.077,0.052,0.028,0.025,0.018,0.250,0.224,0.217,0.208,0.101,0.512,0.255,0.021,0.060,0.001,0.102,0.049,0.190,0.340,0.660,0.181,0.247
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1343,0.188,0.159,0.160,0.186,0.117,0.071,0.043,0.038,0.038,0.091,0.191,0.277,0.280,0.161,0.736,0.113,0.016,0.051,0.000,0.045,0.039,0.092,0.226,0.774,0.122,0.160
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),75,0.182,0.168,0.163,0.189,0.117,0.068,0.045,0.035,0.033,0.107,0.203,0.279,0.264,0.147,0.708,0.126,0.016,0.054,0.000,0.056,0.040,0.105,0.246,0.754,0.135,0.174
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),96,0.204,0.160,0.144,0.180,0.121,0.071,0.043,0.038,0.039,0.116,0.206,0.271,0.264,0.143,0.713,0.119,0.016,0.050,0.001,0.061,0.040,0.113,0.263,0.737,0.138,0.188
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),364,0.183,0.154,0.160,0.185,0.119,0.073,0.045,0.040,0.041,0.093,0.200,0.280,0.271,0.156,0.733,0.116,0.015,0.052,0.001,0.044,0.039,0.091,0.249,0.751,0.132,0.179
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),498,0.192,0.159,0.165,0.186,0.115,0.069,0.041,0.037,0.036,0.088,0.184,0.274,0.288,0.166,0.743,0.110,0.017,0.049,0.000,0.043,0.038,0.090,0.207,0.793,0.113,0.143
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),310,0.183,0.161,0.158,0.190,0.117,0.072,0.044,0.038,0.037,0.080,0.184,0.280,0.290,0.166,0.745,0.110,0.015,0.052,0.000,0.041,0.037,0.086,0.216,0.784,0.116,0.152
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1276,0.188,0.159,0.162,0.185,0.117,0.071,0.043,0.038,0.037,0.089,0.189,0.275,0.284,0.163,0.737,0.111,0.016,0.050,0.001,0.046,0.039,0.093,0.221,0.779,0.119,0.156
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),42,0.178,0.164,0.165,0.199,0.116,0.068,0.044,0.036,0.030,0.122,0.193,0.270,0.267,0.148,0.692,0.129,0.022,0.048,0.000,0.066,0.043,0.116,0.253,0.747,0.141,0.180
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),96,0.204,0.153,0.149,0.171,0.125,0.073,0.043,0.043,0.039,0.112,0.203,0.270,0.269,0.146,0.720,0.121,0.014,0.049,0.001,0.055,0.040,0.104,0.263,0.737,0.135,0.189
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),349,0.183,0.155,0.156,0.184,0.120,0.074,0.045,0.040,0.043,0.096,0.203,0.276,0.269,0.156,0.722,0.121,0.015,0.053,0.001,0.048,0.040,0.096,0.257,0.743,0.135,0.187
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),519,0.191,0.160,0.167,0.186,0.114,0.069,0.042,0.036,0.035,0.083,0.182,0.274,0.292,0.169,0.750,0.105,0.016,0.048,0.000,0.043,0.038,0.090,0.199,0.801,0.109,0.136
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),269,0.180,0.162,0.164,0.189,0.117,0.072,0.044,0.038,0.034,0.079,0.177,0.280,0.296,0.168,0.745,0.105,0.016,0.052,0.000,0.044,0.038,0.090,0.199,0.801,0.109,0.139
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1357,0.193,0.157,0.155,0.187,0.117,0.071,0.043,0.037,0.040,0.087,0.194,0.278,0.280,0.161,0.736,0.116,0.016,0.052,0.000,0.042,0.038,0.089,0.228,0.772,0.123,0.161
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),152,0.186,0.171,0.164,0.188,0.115,0.068,0.045,0.032,0.031,0.097,0.214,0.284,0.258,0.147,0.718,0.120,0.014,0.059,0.001,0.049,0.039,0.096,0.241,0.759,0.132,0.168
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),68,0.188,0.165,0.136,0.207,0.116,0.076,0.046,0.030,0.036,0.101,0.202,0.276,0.269,0.152,0.730,0.108,0.018,0.043,0.000,0.065,0.036,0.117,0.222,0.778,0.122,0.158
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),371,0.189,0.149,0.158,0.186,0.117,0.071,0.045,0.042,0.043,0.084,0.188,0.279,0.283,0.166,0.744,0.112,0.015,0.052,0.000,0.039,0.038,0.084,0.226,0.774,0.119,0.162
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),443,0.199,0.156,0.153,0.182,0.120,0.071,0.040,0.038,0.041,0.088,0.189,0.274,0.287,0.162,0.732,0.117,0.019,0.052,0.000,0.042,0.038,0.090,0.220,0.780,0.120,0.155
Bus - StL Bus Index,Destination,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),322,0.190,0.160,0.156,0.189,0.115,0.071,0.045,0.035,0.039,0.080,0.197,0.280,0.279,0.164,0.743,0.117,0.013,0.051,0.000,0.039,0.037,0.083,0.238,0.762,0.127,0.166
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1626,0.278,0.170,0.149,0.153,0.104,0.061,0.030,0.030,0.025,0.178,0.228,0.259,0.215,0.120,0.573,0.200,0.024,0.046,0.001,0.107,0.049,0.179,0.297,0.703,0.174,0.207
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),82,0.316,0.168,0.148,0.146,0.098,0.058,0.026,0.020,0.020,0.189,0.237,0.250,0.208,0.116,0.549,0.193,0.032,0.040,0.001,0.136,0.049,0.216,0.293,0.707,0.176,0.199
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),162,0.256,0.166,0.148,0.165,0.113,0.062,0.032,0.031,0.027,0.173,0.233,0.268,0.213,0.113,0.566,0.221,0.028,0.050,0.001,0.086,0.048,0.155,0.324,0.676,0.188,0.233
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),530,0.269,0.173,0.146,0.156,0.104,0.064,0.031,0.031,0.026,0.173,0.233,0.263,0.216,0.115,0.575,0.207,0.022,0.048,0.001,0.099,0.048,0.167,0.301,0.699,0.174,0.212
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),563,0.287,0.169,0.152,0.150,0.102,0.057,0.028,0.030,0.025,0.183,0.226,0.255,0.214,0.122,0.571,0.200,0.024,0.045,0.001,0.109,0.050,0.185,0.294,0.706,0.174,0.203
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),289,0.285,0.166,0.148,0.151,0.103,0.061,0.031,0.031,0.024,0.176,0.221,0.254,0.220,0.129,0.586,0.179,0.024,0.044,0.001,0.117,0.049,0.191,0.282,0.718,0.168,0.194
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1610,0.282,0.167,0.150,0.153,0.103,0.060,0.030,0.030,0.025,0.180,0.228,0.257,0.216,0.119,0.572,0.201,0.025,0.045,0.001,0.107,0.049,0.179,0.296,0.704,0.175,0.206
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),58,0.328,0.171,0.145,0.142,0.094,0.055,0.025,0.020,0.020,0.203,0.239,0.244,0.204,0.110,0.529,0.206,0.032,0.042,0.001,0.140,0.050,0.229,0.295,0.705,0.178,0.198
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),171,0.245,0.158,0.152,0.175,0.118,0.064,0.032,0.031,0.025,0.165,0.232,0.273,0.218,0.112,0.585,0.209,0.027,0.050,0.001,0.082,0.046,0.147,0.317,0.683,0.183,0.226
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),509,0.269,0.172,0.146,0.157,0.103,0.064,0.031,0.031,0.027,0.177,0.231,0.263,0.216,0.113,0.574,0.210,0.022,0.047,0.001,0.099,0.047,0.167,0.304,0.696,0.176,0.214
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),607,0.291,0.167,0.153,0.148,0.101,0.056,0.028,0.030,0.026,0.185,0.226,0.252,0.215,0.122,0.567,0.201,0.026,0.044,0.001,0.110,0.051,0.186,0.292,0.708,0.174,0.201
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),266,0.289,0.164,0.150,0.148,0.102,0.061,0.032,0.031,0.023,0.178,0.223,0.251,0.219,0.129,0.578,0.182,0.025,0.043,0.001,0.122,0.049,0.195,0.279,0.721,0.168,0.190
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1469,0.284,0.177,0.148,0.151,0.100,0.059,0.030,0.028,0.023,0.177,0.229,0.261,0.212,0.121,0.570,0.200,0.024,0.047,0.001,0.109,0.049,0.183,0.292,0.708,0.172,0.205
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),129,0.299,0.165,0.152,0.151,0.104,0.060,0.027,0.022,0.020,0.181,0.235,0.251,0.209,0.124,0.569,0.183,0.028,0.040,0.001,0.131,0.048,0.203,0.291,0.709,0.173,0.201
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),93,0.320,0.198,0.147,0.138,0.084,0.040,0.028,0.022,0.023,0.214,0.241,0.252,0.191,0.102,0.470,0.286,0.041,0.048,0.001,0.104,0.050,0.189,0.345,0.655,0.210,0.256
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),539,0.272,0.177,0.145,0.153,0.104,0.062,0.032,0.031,0.024,0.168,0.234,0.264,0.216,0.118,0.580,0.197,0.022,0.049,0.001,0.102,0.049,0.172,0.287,0.713,0.166,0.201
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),411,0.283,0.175,0.150,0.152,0.101,0.057,0.029,0.029,0.024,0.173,0.225,0.265,0.212,0.125,0.573,0.203,0.021,0.046,0.001,0.107,0.049,0.181,0.292,0.708,0.172,0.204
Bus - StL Bus Index,Destination,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),297,0.290,0.178,0.150,0.149,0.095,0.059,0.028,0.028,0.023,0.185,0.219,0.260,0.211,0.125,0.582,0.184,0.022,0.045,0.001,0.117,0.049,0.195,0.286,0.714,0.170,0.198
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1647,0.241,0.179,0.176,0.160,0.125,0.050,0.029,0.022,0.018,0.227,0.242,0.266,0.176,0.089,0.513,0.224,0.023,0.048,0.001,0.138,0.053,0.232,0.367,0.633,0.219,0.268
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),68,0.224,0.184,0.149,0.168,0.127,0.058,0.038,0.031,0.021,0.185,0.227,0.253,0.217,0.118,0.559,0.215,0.023,0.053,0.001,0.100,0.049,0.176,0.341,0.659,0.197,0.244
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),172,0.254,0.171,0.145,0.188,0.108,0.053,0.029,0.027,0.025,0.198,0.235,0.279,0.196,0.092,0.570,0.201,0.026,0.055,0.001,0.101,0.046,0.183,0.340,0.660,0.197,0.246
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),549,0.238,0.179,0.167,0.166,0.123,0.055,0.029,0.023,0.020,0.212,0.242,0.272,0.183,0.091,0.528,0.217,0.023,0.048,0.001,0.131,0.052,0.221,0.364,0.636,0.217,0.265
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),571,0.237,0.180,0.191,0.151,0.133,0.047,0.026,0.019,0.016,0.246,0.244,0.260,0.164,0.086,0.490,0.232,0.022,0.045,0.001,0.155,0.055,0.256,0.380,0.620,0.231,0.279
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),286,0.250,0.183,0.182,0.150,0.125,0.044,0.030,0.020,0.016,0.243,0.247,0.259,0.166,0.085,0.488,0.237,0.026,0.047,0.001,0.147,0.054,0.246,0.366,0.634,0.219,0.270
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1616,0.238,0.179,0.177,0.158,0.127,0.051,0.029,0.022,0.019,0.229,0.241,0.264,0.176,0.090,0.515,0.223,0.022,0.046,0.001,0.140,0.053,0.234,0.367,0.633,0.220,0.267
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),53,0.231,0.179,0.147,0.172,0.124,0.059,0.035,0.032,0.021,0.184,0.206,0.244,0.233,0.133,0.577,0.188,0.025,0.050,0.001,0.109,0.050,0.189,0.328,0.672,0.189,0.229
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),188,0.258,0.167,0.145,0.186,0.108,0.056,0.030,0.026,0.024,0.204,0.237,0.279,0.190,0.090,0.574,0.199,0.027,0.053,0.001,0.102,0.044,0.182,0.344,0.656,0.200,0.250
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),532,0.231,0.182,0.165,0.167,0.124,0.056,0.030,0.024,0.021,0.205,0.242,0.272,0.188,0.093,0.536,0.216,0.021,0.046,0.001,0.127,0.053,0.217,0.360,0.640,0.214,0.260
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),589,0.237,0.178,0.197,0.146,0.135,0.047,0.026,0.018,0.016,0.254,0.243,0.256,0.162,0.085,0.485,0.234,0.021,0.044,0.001,0.159,0.056,0.261,0.384,0.616,0.233,0.282
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),255,0.248,0.181,0.184,0.146,0.126,0.045,0.031,0.021,0.018,0.247,0.244,0.254,0.166,0.089,0.486,0.239,0.023,0.045,0.001,0.152,0.054,0.250,0.365,0.635,0.219,0.268
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1552,0.249,0.181,0.172,0.161,0.122,0.049,0.027,0.022,0.017,0.226,0.242,0.267,0.176,0.089,0.514,0.221,0.026,0.050,0.001,0.135,0.053,0.230,0.360,0.640,0.216,0.264
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),97,0.234,0.196,0.145,0.158,0.128,0.054,0.036,0.029,0.020,0.195,0.261,0.257,0.191,0.096,0.550,0.230,0.020,0.059,0.001,0.091,0.049,0.165,0.353,0.647,0.207,0.255
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),125,0.246,0.182,0.148,0.188,0.109,0.048,0.027,0.028,0.024,0.179,0.234,0.276,0.215,0.096,0.545,0.220,0.024,0.058,0.001,0.104,0.048,0.190,0.323,0.677,0.188,0.234
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),569,0.255,0.179,0.168,0.160,0.120,0.053,0.026,0.022,0.017,0.229,0.237,0.270,0.175,0.089,0.513,0.216,0.025,0.049,0.001,0.143,0.053,0.238,0.366,0.634,0.220,0.267
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),485,0.238,0.180,0.177,0.162,0.127,0.049,0.028,0.022,0.017,0.222,0.239,0.270,0.176,0.093,0.521,0.219,0.023,0.048,0.001,0.135,0.053,0.231,0.361,0.639,0.219,0.265
Bus - StL Bus Index,Destination,N/A,27053008300,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),275,0.262,0.185,0.186,0.151,0.123,0.039,0.026,0.015,0.013,0.254,0.253,0.261,0.157,0.075,0.483,0.234,0.032,0.049,0.001,0.147,0.054,0.249,0.367,0.633,0.220,0.273
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1139,0.241,0.178,0.147,0.173,0.134,0.061,0.031,0.021,0.014,0.199,0.229,0.295,0.179,0.098,0.505,0.218,0.023,0.051,0.000,0.148,0.055,0.249,0.381,0.619,0.223,0.277
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),45,0.250,0.173,0.132,0.175,0.128,0.062,0.035,0.023,0.022,0.194,0.221,0.293,0.184,0.108,0.503,0.211,0.029,0.038,0.000,0.163,0.056,0.261,0.374,0.626,0.214,0.269
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),128,0.252,0.174,0.147,0.176,0.121,0.059,0.031,0.024,0.016,0.195,0.225,0.286,0.206,0.088,0.531,0.222,0.017,0.074,0.000,0.106,0.050,0.175,0.336,0.664,0.186,0.251
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),358,0.240,0.175,0.149,0.177,0.128,0.061,0.031,0.023,0.016,0.188,0.235,0.290,0.190,0.097,0.530,0.212,0.023,0.055,0.001,0.127,0.052,0.218,0.366,0.634,0.212,0.264
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),394,0.238,0.178,0.149,0.171,0.140,0.061,0.031,0.020,0.012,0.207,0.229,0.295,0.170,0.099,0.490,0.220,0.022,0.046,0.001,0.163,0.058,0.272,0.398,0.602,0.237,0.286
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),213,0.242,0.187,0.143,0.165,0.140,0.061,0.032,0.017,0.013,0.207,0.225,0.302,0.163,0.103,0.472,0.223,0.026,0.045,0.000,0.176,0.058,0.296,0.402,0.598,0.235,0.295
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1135,0.241,0.178,0.146,0.173,0.135,0.061,0.031,0.021,0.014,0.199,0.227,0.297,0.179,0.098,0.501,0.220,0.022,0.052,0.000,0.149,0.056,0.250,0.380,0.620,0.222,0.275
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),30,0.259,0.162,0.130,0.183,0.122,0.058,0.034,0.028,0.024,0.178,0.217,0.290,0.208,0.107,0.548,0.200,0.029,0.036,0.000,0.129,0.058,0.213,0.322,0.678,0.185,0.228
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),137,0.245,0.178,0.142,0.177,0.126,0.062,0.032,0.022,0.016,0.189,0.224,0.291,0.208,0.088,0.536,0.218,0.017,0.080,0.000,0.099,0.050,0.165,0.334,0.666,0.185,0.249
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),364,0.244,0.177,0.147,0.180,0.126,0.058,0.031,0.021,0.016,0.190,0.236,0.292,0.189,0.093,0.524,0.218,0.023,0.058,0.001,0.124,0.052,0.214,0.361,0.639,0.210,0.259
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),403,0.235,0.177,0.151,0.169,0.142,0.062,0.032,0.021,0.011,0.207,0.224,0.299,0.170,0.100,0.484,0.220,0.022,0.044,0.001,0.171,0.058,0.282,0.400,0.600,0.238,0.288
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),201,0.242,0.187,0.140,0.165,0.143,0.063,0.031,0.017,0.012,0.209,0.220,0.305,0.161,0.105,0.465,0.226,0.026,0.043,0.000,0.181,0.059,0.306,0.408,0.592,0.239,0.300
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1091,0.240,0.177,0.146,0.174,0.133,0.062,0.032,0.021,0.015,0.194,0.235,0.289,0.181,0.101,0.514,0.214,0.023,0.046,0.000,0.148,0.055,0.247,0.381,0.619,0.223,0.275
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),83,0.249,0.182,0.130,0.169,0.135,0.063,0.036,0.015,0.021,0.206,0.225,0.296,0.164,0.109,0.478,0.213,0.030,0.037,0.000,0.186,0.056,0.292,0.414,0.586,0.235,0.299
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),95,0.266,0.156,0.162,0.175,0.115,0.056,0.033,0.025,0.012,0.198,0.235,0.265,0.203,0.099,0.527,0.229,0.017,0.050,0.000,0.128,0.049,0.210,0.317,0.683,0.180,0.231
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),333,0.233,0.173,0.152,0.179,0.128,0.062,0.031,0.026,0.016,0.185,0.239,0.286,0.190,0.100,0.537,0.208,0.024,0.045,0.001,0.132,0.053,0.229,0.372,0.628,0.218,0.271
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),357,0.237,0.179,0.142,0.178,0.137,0.063,0.030,0.020,0.014,0.191,0.240,0.293,0.178,0.098,0.524,0.208,0.021,0.048,0.000,0.143,0.056,0.241,0.385,0.615,0.227,0.274
Bus - StL Bus Index,Destination,N/A,27053008400,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),223,0.241,0.185,0.145,0.164,0.140,0.063,0.032,0.016,0.014,0.205,0.224,0.297,0.169,0.105,0.475,0.228,0.022,0.047,0.000,0.170,0.058,0.281,0.401,0.599,0.236,0.292
Bus - StL Bus Index,Destination,N/A,27053101200,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),652,0.189,0.123,0.143,0.208,0.142,0.069,0.049,0.058,0.019,0.091,0.227,0.304,0.263,0.115,0.744,0.112,0.015,0.049,0.001,0.039,0.040,0.084,0.285,0.715,0.155,0.193
Bus - StL Bus Index,Destination,N/A,27053101200,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),18,0.217,0.101,0.150,0.201,0.144,0.053,0.051,0.064,0.019,0.093,0.230,0.316,0.257,0.104,0.680,0.150,0.017,0.054,0.001,0.054,0.044,0.114,0.281,0.719,0.160,0.190
Bus - StL Bus Index,Destination,N/A,27053101200,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),68,0.183,0.120,0.148,0.206,0.139,0.075,0.054,0.049,0.026,0.090,0.235,0.290,0.268,0.117,0.734,0.123,0.013,0.056,0.000,0.037,0.037,0.074,0.316,0.684,0.162,0.220
