Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5-6 mi (percent),Trip Length 6-7 mi (percent),Trip Length 7-8 mi (percent),Trip Length 8-9 mi (percent),Trip Length 9-10 mi (percent),Trip Length 10+ mi (percent)
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),335,1204,1204,3.4,3.4,0.091,0.243,0.224,0.152,0.098,0.046,0.028,0.028,0.018,0.007,0.012,0.004,0.049,0.171,0.283,0.198,0.118,0.066,0.048,0.030,0.022,0.006,0.006,0.052
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1897,1201,1201,3.6,3.6,0.086,0.241,0.205,0.125,0.103,0.065,0.044,0.028,0.024,0.012,0.011,0.013,0.043,0.156,0.251,0.172,0.136,0.080,0.058,0.035,0.029,0.014,0.012,0.057
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),124,1145,1145,3.3,3.3,0.106,0.257,0.273,0.080,0.080,0.053,0.009,0.044,0.018,0.018,0.000,0.027,0.035,0.168,0.300,0.159,0.133,0.062,0.062,0.018,0.009,0.027,0.018,0.044
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),178,1108,1108,3.1,3.1,0.119,0.226,0.220,0.126,0.113,0.088,0.025,0.013,0.013,0.006,0.000,0.013,0.038,0.164,0.251,0.233,0.126,0.063,0.044,0.019,0.044,0.000,0.006,0.050
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),684,1220,1220,3.7,3.7,0.077,0.244,0.190,0.126,0.111,0.063,0.052,0.030,0.028,0.011,0.013,0.014,0.041,0.149,0.255,0.179,0.105,0.089,0.049,0.053,0.038,0.014,0.008,0.061
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),557,1241,1241,3.7,3.7,0.084,0.247,0.216,0.107,0.098,0.056,0.042,0.031,0.027,0.013,0.015,0.010,0.054,0.167,0.250,0.159,0.130,0.079,0.075,0.034,0.015,0.017,0.013,0.061
Bus - StL Bus Index,Destination,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),354,1167,1167,3.5,3.5,0.082,0.224,0.185,0.170,0.097,0.076,0.052,0.024,0.018,0.015,0.009,0.012,0.036,0.142,0.237,0.155,0.209,0.076,0.055,0.012,0.033,0.012,0.021,0.048
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1227,1331,1331,4.3,4.3,0.055,0.201,0.221,0.147,0.103,0.062,0.049,0.037,0.027,0.016,0.017,0.013,0.052,0.095,0.197,0.187,0.167,0.096,0.063,0.046,0.029,0.018,0.018,0.084
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),60,1225,1225,3.4,3.4,0.055,0.145,0.290,0.210,0.090,0.035,0.030,0.020,0.070,0.010,0.000,0.010,0.035,0.060,0.150,0.310,0.210,0.070,0.095,0.035,0.040,0.010,0.015,0.005
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),185,1621,1621,6.0,6.0,0.032,0.142,0.181,0.121,0.113,0.081,0.065,0.066,0.036,0.023,0.040,0.027,0.073,0.061,0.115,0.170,0.115,0.102,0.071,0.060,0.037,0.045,0.040,0.184
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),382,1247,1247,4.0,4.0,0.055,0.221,0.237,0.145,0.095,0.059,0.045,0.036,0.025,0.016,0.014,0.008,0.044,0.086,0.218,0.207,0.177,0.094,0.062,0.044,0.023,0.012,0.015,0.062
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),371,1288,1288,4.0,4.0,0.055,0.200,0.206,0.163,0.112,0.062,0.055,0.036,0.024,0.018,0.015,0.013,0.041,0.103,0.224,0.174,0.161,0.094,0.063,0.044,0.034,0.019,0.016,0.068
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),229,1335,1335,4.1,4.1,0.073,0.229,0.225,0.130,0.098,0.062,0.039,0.022,0.020,0.012,0.012,0.009,0.069,0.135,0.204,0.154,0.190,0.103,0.048,0.045,0.020,0.007,0.008,0.086
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1301,1358,1358,4.4,4.4,0.049,0.193,0.220,0.153,0.101,0.060,0.053,0.043,0.027,0.018,0.016,0.012,0.055,0.090,0.192,0.190,0.160,0.098,0.064,0.048,0.027,0.021,0.022,0.088
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),55,1069,1069,3.3,3.3,0.056,0.148,0.304,0.241,0.093,0.028,0.009,0.019,0.093,0.000,0.000,0.000,0.009,0.065,0.120,0.370,0.213,0.037,0.093,0.065,0.019,0.009,0.009,0.000
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),244,1649,1649,6.1,6.1,0.023,0.126,0.187,0.120,0.108,0.087,0.077,0.070,0.041,0.027,0.037,0.025,0.072,0.050,0.114,0.153,0.114,0.110,0.077,0.068,0.039,0.056,0.043,0.176
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),412,1273,1273,4.0,4.0,0.051,0.219,0.246,0.148,0.084,0.057,0.041,0.041,0.028,0.020,0.012,0.006,0.047,0.083,0.224,0.213,0.162,0.106,0.059,0.042,0.021,0.009,0.018,0.063
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),381,1313,1313,4.0,4.0,0.053,0.202,0.199,0.167,0.113,0.054,0.062,0.044,0.013,0.019,0.013,0.015,0.046,0.101,0.222,0.174,0.155,0.094,0.068,0.044,0.035,0.021,0.020,0.066
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),210,1343,1343,4.2,4.2,0.068,0.216,0.228,0.150,0.109,0.051,0.041,0.019,0.017,0.007,0.007,0.007,0.080,0.136,0.187,0.172,0.204,0.092,0.046,0.036,0.012,0.010,0.010,0.095
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),979,1210,1210,3.8,3.8,0.072,0.238,0.209,0.134,0.108,0.073,0.043,0.022,0.019,0.009,0.019,0.017,0.037,0.108,0.220,0.170,0.196,0.089,0.058,0.039,0.032,0.014,0.011,0.063
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),61,1528,1528,3.4,3.4,0.055,0.164,0.235,0.164,0.091,0.055,0.055,0.000,0.036,0.018,0.000,0.036,0.091,0.091,0.200,0.164,0.272,0.109,0.055,0.000,0.055,0.018,0.036,0.000
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),46,1594,1594,5.2,5.2,0.098,0.220,0.146,0.122,0.122,0.024,0.049,0.049,0.000,0.000,0.073,0.024,0.073,0.122,0.146,0.195,0.122,0.073,0.098,0.000,0.024,0.000,0.049,0.171
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),304,1141,1141,3.7,3.7,0.071,0.271,0.230,0.102,0.127,0.057,0.039,0.025,0.007,0.004,0.014,0.014,0.039,0.088,0.231,0.212,0.194,0.060,0.067,0.042,0.021,0.021,0.011,0.053
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),329,1221,1221,3.9,3.9,0.070,0.210,0.182,0.172,0.109,0.083,0.050,0.023,0.026,0.013,0.026,0.013,0.023,0.103,0.214,0.156,0.199,0.099,0.053,0.040,0.046,0.020,0.007,0.063
Bus - StL Bus Index,Destination,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),239,1134,1134,3.7,3.7,0.078,0.255,0.226,0.115,0.083,0.097,0.037,0.018,0.023,0.009,0.009,0.018,0.032,0.143,0.224,0.134,0.189,0.111,0.046,0.051,0.023,0.000,0.005,0.074
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1531,1351,1351,3.8,3.8,0.039,0.191,0.206,0.149,0.109,0.075,0.062,0.041,0.032,0.020,0.017,0.014,0.045,0.126,0.280,0.167,0.107,0.078,0.062,0.042,0.032,0.020,0.014,0.072
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),53,1313,1313,3.4,3.4,0.054,0.272,0.220,0.095,0.095,0.048,0.048,0.018,0.048,0.006,0.006,0.030,0.060,0.185,0.290,0.190,0.089,0.042,0.030,0.042,0.042,0.030,0.000,0.060
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),353,1371,1371,4.4,4.4,0.033,0.145,0.188,0.159,0.122,0.105,0.076,0.050,0.030,0.025,0.025,0.013,0.029,0.089,0.215,0.157,0.119,0.105,0.096,0.058,0.039,0.019,0.012,0.091
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),485,1297,1297,3.5,3.5,0.048,0.210,0.229,0.146,0.101,0.061,0.054,0.035,0.025,0.020,0.012,0.010,0.049,0.148,0.293,0.173,0.104,0.076,0.054,0.038,0.022,0.020,0.013,0.059
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),427,1430,1430,3.9,3.9,0.031,0.167,0.196,0.159,0.115,0.075,0.068,0.051,0.035,0.015,0.017,0.017,0.054,0.120,0.304,0.150,0.102,0.073,0.055,0.040,0.036,0.024,0.020,0.076
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),214,1294,1294,3.5,3.5,0.039,0.250,0.208,0.131,0.100,0.066,0.046,0.025,0.044,0.020,0.018,0.014,0.039,0.133,0.315,0.194,0.105,0.058,0.048,0.028,0.032,0.014,0.013,0.060
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1713,1390,1390,3.9,3.9,0.039,0.177,0.201,0.143,0.116,0.079,0.065,0.046,0.033,0.023,0.018,0.014,0.046,0.120,0.272,0.161,0.110,0.084,0.065,0.043,0.031,0.022,0.015,0.077
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),33,1543,1543,3.9,3.9,0.066,0.164,0.230,0.082,0.131,0.082,0.033,0.000,0.049,0.016,0.000,0.049,0.098,0.164,0.295,0.180,0.066,0.066,0.033,0.049,0.016,0.033,0.000,0.098
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),458,1425,1425,4.6,4.6,0.029,0.135,0.178,0.158,0.129,0.105,0.079,0.055,0.031,0.026,0.030,0.014,0.031,0.080,0.209,0.147,0.112,0.117,0.102,0.059,0.041,0.022,0.012,0.099
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),571,1316,1316,3.5,3.5,0.050,0.214,0.226,0.129,0.105,0.059,0.061,0.036,0.025,0.023,0.012,0.009,0.051,0.145,0.296,0.170,0.108,0.079,0.047,0.039,0.023,0.020,0.013,0.060
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),458,1491,1491,4.0,4.0,0.031,0.150,0.185,0.155,0.122,0.080,0.064,0.062,0.039,0.018,0.018,0.019,0.057,0.122,0.295,0.147,0.104,0.076,0.062,0.035,0.031,0.028,0.022,0.078
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),193,1258,1258,3.6,3.6,0.047,0.237,0.213,0.129,0.102,0.068,0.052,0.026,0.045,0.026,0.013,0.013,0.029,0.123,0.292,0.202,0.131,0.045,0.045,0.034,0.031,0.013,0.016,0.068
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1087,1240,1240,3.4,3.4,0.038,0.255,0.232,0.153,0.079,0.054,0.048,0.030,0.031,0.011,0.013,0.011,0.045,0.138,0.329,0.184,0.097,0.061,0.048,0.034,0.030,0.014,0.010,0.055
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),96,1136,1136,3.0,3.0,0.047,0.364,0.212,0.118,0.071,0.024,0.035,0.035,0.035,0.000,0.000,0.024,0.035,0.212,0.269,0.212,0.118,0.024,0.035,0.035,0.047,0.024,0.000,0.024
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),120,1006,1006,3.2,3.2,0.073,0.275,0.248,0.183,0.037,0.037,0.046,0.018,0.037,0.009,0.000,0.009,0.028,0.156,0.339,0.156,0.128,0.055,0.028,0.037,0.055,0.000,0.000,0.046
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),332,1236,1236,3.3,3.3,0.034,0.230,0.253,0.169,0.081,0.057,0.037,0.027,0.017,0.020,0.017,0.007,0.051,0.142,0.328,0.186,0.084,0.071,0.047,0.027,0.027,0.014,0.017,0.057
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),328,1280,1280,3.6,3.6,0.037,0.235,0.213,0.145,0.095,0.064,0.068,0.034,0.034,0.007,0.014,0.007,0.047,0.125,0.333,0.169,0.108,0.057,0.041,0.041,0.024,0.020,0.014,0.068
Bus - StL Bus Index,Destination,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),211,1366,1366,3.4,3.4,0.021,0.263,0.226,0.137,0.079,0.058,0.042,0.032,0.042,0.011,0.021,0.021,0.047,0.111,0.329,0.211,0.074,0.074,0.079,0.032,0.021,0.011,0.005,0.053
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2576,1370,1370,3.5,3.5,0.044,0.216,0.202,0.140,0.102,0.068,0.052,0.041,0.033,0.022,0.016,0.010,0.054,0.150,0.307,0.176,0.101,0.062,0.043,0.036,0.023,0.025,0.014,0.063
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),148,1359,1359,3.0,3.0,0.050,0.289,0.167,0.128,0.083,0.072,0.048,0.029,0.027,0.025,0.012,0.012,0.058,0.155,0.370,0.196,0.087,0.041,0.025,0.031,0.021,0.014,0.010,0.050
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),423,1187,1187,3.6,3.6,0.059,0.237,0.205,0.146,0.097,0.073,0.049,0.039,0.026,0.020,0.015,0.004,0.030,0.164,0.311,0.157,0.105,0.057,0.033,0.036,0.019,0.016,0.015,0.087
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),773,1239,1239,3.1,3.1,0.051,0.240,0.208,0.141,0.105,0.063,0.051,0.034,0.027,0.018,0.012,0.009,0.041,0.169,0.312,0.194,0.098,0.061,0.034,0.040,0.020,0.017,0.012,0.043
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),700,1534,1534,3.8,3.8,0.032,0.174,0.193,0.145,0.114,0.074,0.057,0.045,0.037,0.026,0.020,0.013,0.070,0.135,0.296,0.160,0.098,0.068,0.063,0.036,0.029,0.025,0.019,0.071
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),532,1495,1495,3.7,3.7,0.035,0.203,0.211,0.130,0.090,0.064,0.052,0.050,0.042,0.024,0.017,0.014,0.068,0.128,0.299,0.180,0.111,0.067,0.041,0.031,0.020,0.047,0.012,0.064
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2563,1380,1380,3.5,3.5,0.041,0.217,0.192,0.144,0.100,0.071,0.056,0.043,0.035,0.022,0.017,0.010,0.052,0.154,0.298,0.179,0.098,0.063,0.044,0.040,0.023,0.027,0.013,0.061
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),109,1399,1399,3.2,3.2,0.043,0.315,0.158,0.072,0.072,0.077,0.086,0.038,0.033,0.029,0.005,0.010,0.062,0.158,0.374,0.153,0.086,0.033,0.033,0.053,0.029,0.019,0.005,0.057
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),466,1217,1217,3.7,3.7,0.046,0.231,0.195,0.157,0.103,0.071,0.055,0.043,0.026,0.023,0.017,0.004,0.029,0.155,0.299,0.164,0.096,0.064,0.042,0.035,0.021,0.019,0.015,0.090
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),748,1219,1219,3.0,3.0,0.053,0.252,0.194,0.147,0.099,0.072,0.049,0.034,0.026,0.015,0.013,0.009,0.037,0.179,0.302,0.209,0.096,0.057,0.034,0.045,0.022,0.013,0.008,0.035
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),729,1571,1571,3.9,3.9,0.027,0.172,0.182,0.150,0.111,0.077,0.066,0.046,0.039,0.028,0.018,0.012,0.072,0.141,0.283,0.155,0.098,0.074,0.065,0.040,0.027,0.023,0.020,0.074
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),511,1492,1492,3.6,3.6,0.037,0.201,0.210,0.134,0.088,0.061,0.047,0.054,0.048,0.021,0.022,0.013,0.064,0.135,0.301,0.187,0.104,0.061,0.032,0.034,0.021,0.060,0.011,0.054
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2389,1329,1329,3.4,3.4,0.043,0.223,0.224,0.140,0.103,0.060,0.045,0.033,0.032,0.020,0.013,0.011,0.053,0.140,0.333,0.178,0.101,0.057,0.041,0.029,0.017,0.024,0.016,0.064
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),258,1323,1323,3.0,3.0,0.048,0.242,0.176,0.189,0.093,0.070,0.022,0.022,0.022,0.018,0.018,0.018,0.062,0.154,0.371,0.229,0.075,0.048,0.018,0.018,0.013,0.013,0.013,0.048
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),311,1122,1122,3.3,3.3,0.079,0.243,0.226,0.154,0.065,0.075,0.039,0.029,0.029,0.018,0.011,0.000,0.032,0.186,0.337,0.147,0.093,0.043,0.022,0.039,0.018,0.014,0.022,0.079
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),757,1206,1206,3.3,3.3,0.042,0.235,0.240,0.132,0.127,0.048,0.048,0.027,0.027,0.021,0.007,0.009,0.037,0.163,0.321,0.174,0.111,0.055,0.033,0.028,0.012,0.027,0.019,0.057
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),560,1416,1416,3.6,3.6,0.036,0.192,0.218,0.140,0.114,0.072,0.044,0.040,0.036,0.014,0.022,0.012,0.060,0.114,0.334,0.180,0.086,0.058,0.058,0.030,0.032,0.024,0.012,0.072
Bus - StL Bus Index,Destination,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),504,1545,1545,3.7,3.7,0.026,0.223,0.233,0.117,0.082,0.051,0.055,0.044,0.042,0.026,0.009,0.015,0.077,0.099,0.334,0.174,0.121,0.071,0.057,0.029,0.009,0.031,0.013,0.062
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3699,1491,1491,4.3,4.3,0.030,0.166,0.189,0.140,0.117,0.083,0.067,0.051,0.039,0.028,0.018,0.015,0.057,0.108,0.240,0.177,0.130,0.071,0.052,0.045,0.034,0.034,0.024,0.085
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),183,1358,1358,3.6,3.6,0.049,0.218,0.215,0.102,0.086,0.064,0.067,0.054,0.041,0.035,0.018,0.007,0.044,0.146,0.342,0.122,0.100,0.053,0.041,0.028,0.067,0.043,0.015,0.043
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),880,1538,1538,5.0,5.0,0.022,0.134,0.160,0.136,0.132,0.108,0.086,0.064,0.046,0.030,0.020,0.018,0.044,0.063,0.171,0.182,0.161,0.090,0.057,0.059,0.040,0.032,0.030,0.115
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1143,1419,1419,4.0,4.0,0.033,0.173,0.208,0.157,0.110,0.074,0.059,0.045,0.033,0.025,0.016,0.013,0.054,0.109,0.250,0.195,0.134,0.077,0.051,0.038,0.031,0.025,0.018,0.072
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),928,1557,1557,4.1,4.1,0.028,0.155,0.186,0.140,0.125,0.080,0.062,0.045,0.043,0.032,0.023,0.014,0.067,0.131,0.273,0.148,0.118,0.061,0.056,0.046,0.030,0.032,0.026,0.079
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),566,1500,1500,4.2,4.2,0.036,0.203,0.193,0.125,0.106,0.072,0.060,0.053,0.032,0.020,0.014,0.016,0.070,0.125,0.244,0.199,0.104,0.053,0.041,0.041,0.028,0.055,0.024,0.086
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),4054,1518,1518,4.4,4.4,0.029,0.158,0.184,0.139,0.115,0.085,0.071,0.054,0.043,0.030,0.020,0.015,0.057,0.101,0.232,0.175,0.136,0.072,0.050,0.047,0.037,0.038,0.025,0.087
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),151,1350,1350,4.0,4.0,0.044,0.241,0.190,0.078,0.095,0.068,0.064,0.068,0.058,0.047,0.010,0.003,0.034,0.122,0.338,0.105,0.095,0.061,0.031,0.034,0.105,0.058,0.007,0.044
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),1123,1596,1596,5.1,5.1,0.020,0.116,0.154,0.134,0.132,0.112,0.091,0.067,0.049,0.034,0.024,0.020,0.047,0.056,0.155,0.181,0.173,0.089,0.056,0.058,0.042,0.033,0.030,0.127
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1282,1444,1444,4.0,4.0,0.032,0.170,0.211,0.155,0.106,0.071,0.062,0.043,0.038,0.027,0.017,0.014,0.054,0.104,0.246,0.200,0.134,0.075,0.052,0.039,0.034,0.028,0.019,0.069
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),981,1578,1578,4.1,4.1,0.028,0.160,0.174,0.145,0.114,0.081,0.063,0.046,0.045,0.032,0.025,0.015,0.072,0.132,0.279,0.142,0.122,0.057,0.048,0.046,0.029,0.036,0.027,0.082
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),517,1463,1463,4.2,4.2,0.040,0.194,0.198,0.114,0.107,0.073,0.065,0.066,0.032,0.023,0.012,0.014,0.062,0.121,0.249,0.190,0.094,0.057,0.043,0.048,0.027,0.074,0.028,0.069
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2418,1352,1352,3.9,3.9,0.034,0.200,0.213,0.140,0.111,0.076,0.057,0.043,0.030,0.026,0.015,0.010,0.045,0.137,0.262,0.177,0.123,0.069,0.055,0.034,0.024,0.025,0.017,0.077
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),254,1319,1319,3.0,3.0,0.052,0.221,0.241,0.143,0.078,0.056,0.048,0.026,0.022,0.026,0.026,0.009,0.052,0.199,0.359,0.139,0.113,0.043,0.052,0.009,0.017,0.017,0.013,0.039
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),265,1243,1243,4.3,4.3,0.041,0.256,0.192,0.131,0.114,0.082,0.041,0.045,0.033,0.037,0.008,0.004,0.016,0.102,0.277,0.131,0.094,0.094,0.069,0.061,0.033,0.037,0.037,0.065
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),726,1234,1234,3.8,3.8,0.038,0.204,0.213,0.160,0.109,0.074,0.053,0.047,0.024,0.023,0.014,0.009,0.032,0.137,0.258,0.187,0.124,0.074,0.054,0.023,0.024,0.026,0.015,0.078
Bus - StL Bus Index,Destination,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),646,1426,1426,3.9,3.9,0.031,0.160,0.210,0.132,0.142,0.077,0.069,0.041,0.033,0.031,0.012,0.009,0.053,0.141,0.237,0.153,0.141,0.079,0.065,0.050,0.024,0.019,0.019,0.072
